"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","181828","762","Aguiar, OT; Baitello, JB; Lima, CR",,"2007-08-28","2007","8","28",,,,"Brazil","BR","São Paulo",,"Paranapanema","Estação Ecológica, Trila I",,,"-23.546111","-48.766667",,,,,"Simão-Bianchini, R","2008-04-19",,"Magnoliopsida",,,"class",,"ACCEPTED",,,"Magnoliopsida",,,,"Magnoliopsida",,,"WGS84","https://images.cria.org.br/viewer/UEC069668",,,,"GBIF","UEC",,"Aguiar, O.T.","762","2007","Simao-Bianchini, R.","2008","Baitello, J.B.; Lima, C.R.","Aguiar",,"brazil","sao paulo","paranapanema","estacao ecologica",,"locality","brazil_sao paulo_paranapanema_estacao ecologica","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Magnoliopsida sp.",,"indet",,"Magnoliopsida sp.",,"class","not found",,,,"Magnoliopsida sp.",,"Magnoliaceae",,1768795,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.546111,-48.766667,"coord_original","minutes","low","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","no_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,,"https://specieslink.net/col/64",,"IAC","IAC",,"PRESERVED_SPECIMEN","52858","45","C.R. Lima; O.T. Aguiar & J.B. Baitello",,"2007-08-28","2007","8","28",,,,"Brasil","BR","São Paulo",,"Paranapanema","Estação Ecológica, trilha 1",,,"-23.549167","-48.746944",,,,,"C.R. Lima et al.","2007-08-28",,"Rubiaceae","Rubiaceae",,"family",,"ACCEPTED",,,"Rubiaceae",,,,,,,"WGS84",,,,,"GBIF","IAC",,"Lima, C.R.","45","2007","Lima, C.R.","2007","Aguiar, O.T.; Baitello, J.B.","Lima",,"brazil","sao paulo","paranapanema","estacao ecologica",,"locality","brazil_sao paulo_paranapanema_estacao ecologica","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",,1724343,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.549167,-48.746944,"coord_original","seconds","low","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,,"64",,"IAC","IAC",,"PRESERVED_SPECIMEN","52858","45","C.R. Lima; O.T. Aguiar & J.B. Baitello",,,"2007","08","28",,,,"Brasil",,"São Paulo","Paranapanema","Paranapanema","Estação Ecológica, trilha 1",,,"-23.549167","-48.746944",,"-23.549167","-48.746944",,"C.R. Lima et al.","2007-08-28",,"Rubiaceae","Rubiaceae",,,,,,,,"28","08","2007",,,,,,,,,"Splink","IAC",,"Lima, C.R.","45","2007","Lima, C.R.","2007","Aguiar, O.T.; Baitello, J.B.","Lima",,"brazil","sao paulo","paranapanema","estacao ecologica",,"locality","brazil_sao paulo_paranapanema_estacao ecologica","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",,1741800,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.549167,-48.746944,"coord_original","seconds","low","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","39210","633","R.Cielo-Filho & J.B.Baitello & C.R.Lima",,"2008-01-30","2008","1","30",,,,"Brasil","BR","Sp",,"Paranapanema","Estação Ecológica de Paranapanema",,,"-23.529167","-48.780278",,,,,,,,"Orchidaceae","Orchidaceae",,"family","Schltr.","ACCEPTED",,,"Orchidaceae",,,,"Orchidaceae",,,"WGS84",,,,,"GBIF","SPSF",,"Cielo Filho, R.","633","2008",,,"Baitello, J.B.; Lima, C.R.","Cielo Filho",,"brazil","sao paulo","paranapanema","estacao ecologica de paranapanema",,"locality","brazil_sao paulo_paranapanema_estacao ecologica paranapanema","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Orchidaceae sp.","Schltr.","family_as_genus",,"Orchidaceae sp.","Schltr.","family","not found",,,,"Orchidaceae sp. Schltr.",,"Orchidaceae",,1765607,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.529167,-48.780278,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","no_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","39210","633","R.Cielo-Filho & J.B.Baitello & C.R.Lima",,,"2008","01","30",,,,"Brasil",,"SP","Paranapanema","Paranapanema","Estação Ecológica de Paranapanema",,,"-23.529167","-48.780278",,,,,,,,"Orchidaceae","Orchidaceae",,,"Schltr.",,,,,,,,"Orchidaceae",,,,,,,"SPSF00039210","Splink","SPSF",,"Cielo Filho, R.","633","2008",,,"Baitello, J.B.; Lima, C.R.","Cielo Filho",,"brazil","sao paulo","paranapanema","estacao ecologica de paranapanema",,"locality","brazil_sao paulo_paranapanema_estacao ecologica paranapanema","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Orchidaceae sp.","Schltr.","family_as_genus",,"Orchidaceae sp.","Schltr.","family","not found",,,,"Orchidaceae sp. Schltr.",,"Orchidaceae",,1768505,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.529167,-48.780278,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","no_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4811756",,,"SJRP","SJRP",,"PRESERVED_SPECIMEN","SJRP00001876","587","Cielo-Filho, R.",,"2007-12-04","2007","12","4","2007-12-04",,,"Brasil","BR","São Paulo",,"Paranapanema","Estação Ecológica.",,,,,,,,,,,,"Malvaceae","Malvaceae",,"family","Schrad.","ACCEPTED",,,"Malvaceae",,,,"Malvaceae",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/0/18/76/sjrp00001876.dzi",,,,"GBIF","SJRP",,"Cielo Filho, R.","587","2007",,,,"Cielo Filho",,"brazil","sao paulo","paranapanema","estacao ecologica",,"locality","brazil_sao paulo_paranapanema_estacao ecologica","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Malvaceae sp.","Schrad.","family_as_genus",,"Malvaceae sp.","Schrad.","family","not found",,,,"Malvaceae sp. Schrad.",,"Malvaceae",,1767861,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.516349,-48.761479,"coord_gazet","seconds","unknown","ok_same_resolution","ok_locality_gazet",,FALSE,"no_cannot_check","no_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","38893","580","R.Cielo-Filho & O. T. Aguiar & J. B. Baitello",,"2007-12-04","2007","12","4",,,,"Brasil","BR","Sp",,"Paranapanema","Estação Ecológica de Paranapanema",,,"-23.522778","-48.766389",,,,,,,,"Bignoniaceae","Bignoniaceae",,"family",,"ACCEPTED",,,"Bignoniaceae",,,,,,,"WGS84",,,,,"GBIF","SPSF",,"Cielo Filho, R.","580","2007",,,"Aguiar, O.T.; Baitello, J.B.","Cielo Filho",,"brazil","sao paulo","paranapanema","estacao ecologica de paranapanema",,"locality","brazil_sao paulo_paranapanema_estacao ecologica paranapanema","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Bignoniaceae","Juss.","family_as_genus","Bignoniaceae","Bignoniaceae","Juss.","family","name accepted","bfo-112305",,,"Bignoniaceae Juss.",,"Bignoniaceae",,1720855,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.522778,-48.766389,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,,"https://specieslink.net/col/27",,"UNESP-IBILCE","SJRP",,"PRESERVED_SPECIMEN","29438","1905","Baitello, J.B.",,"2007-09-25","2007","9","25",,,,"Brasil","BR","São Paulo",,"Paranapanema","Estação Ecológica",,,"-23.539444","-48.780278",,,,,,,,"Bignoniaceae","Bignoniaceae",,"family",,"ACCEPTED",,,"Bignoniaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/SJRP00002098",,,,"GBIF","SJRP",,"Baitello, J.B.","1905","2007",,,,"Baitello",,"brazil","sao paulo","paranapanema","estacao ecologica",,"locality","brazil_sao paulo_paranapanema_estacao ecologica","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Bignoniaceae","Juss.","family_as_genus","Bignoniaceae","Bignoniaceae","Juss.","family","name accepted","bfo-112305",,,"Bignoniaceae Juss.",,"Bignoniaceae",,1727230,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.539444,-48.780278,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,,"https://specieslink.net/col/27",,"UNESP-IBILCE","SJRP",,"PRESERVED_SPECIMEN","29435","1839","Baitello, J.B.",,"2007-05-16","2007","5","16",,,,"Brasil","BR","São Paulo",,"Paranapanema","Estação Ecológica",,,"-23.536111","-48.771667",,,,,,,,"Bignoniaceae","Bignoniaceae",,"family",,"ACCEPTED",,,"Bignoniaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/SJRP00002096",,,,"GBIF","SJRP",,"Baitello, J.B.","1839","2007",,,,"Baitello",,"brazil","sao paulo","paranapanema","estacao ecologica",,"locality","brazil_sao paulo_paranapanema_estacao ecologica","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Bignoniaceae","Juss.","family_as_genus","Bignoniaceae","Bignoniaceae","Juss.","family","name accepted","bfo-112305",,,"Bignoniaceae Juss.",,"Bignoniaceae",,1727233,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.536111,-48.771667,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
,,"https://specieslink.net/col/27",,"UNESP-IBILCE","SJRP",,"PRESERVED_SPECIMEN","29436","580","Cielo-Filho, R.",,"2007-12-04","2007","12","4",,,,"Brasil","BR","São Paulo",,"Paranapanema","Estação Ecológica",,,"-23.522778","-48.766389",,,,,,,,"Bignoniaceae","Bignoniaceae",,"family",,"ACCEPTED",,,"Bignoniaceae",,,,,,,"WGS84","https://images.cria.org.br/viewer/SJRP00002097",,,,"GBIF","SJRP",,"Cielo Filho, R.","580","2007",,,,"Cielo Filho",,"brazil","sao paulo","paranapanema","estacao ecologica",,"locality","brazil_sao paulo_paranapanema_estacao ecologica","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",-23.516349,-48.761479,"locality","Bignoniaceae","Juss.","family_as_genus","Bignoniaceae","Bignoniaceae","Juss.","family","name accepted","bfo-112305",,,"Bignoniaceae Juss.",,"Bignoniaceae",,1727234,"brazil_sao paulo_paranapanema","Brazil","São Paulo","Paranapanema",,"ibge",TRUE,-23.522778,-48.766389,"coord_original","seconds","unknown","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA PARANAPANEMA"
