"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99557","3371","Barretto, EHP",,"2023-11-27","2023","11","27",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha OLA",,,,,,,,,"Sordi, SJ","2024-02-19",,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Asteraceae","Symphyopappus","species","(Hook.) Donnell","ACCEPTED",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.",,,,"Symphyopappus itatiayensis","Symphyopappus itatiayensis",,"WGS84",,,,,"GBIF","UFP",,"Barretto, E.H.P.","3371","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","name_w_authors","Asteraceae","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","species","name accepted","bfo-103488",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Symphyopappus","Asteraceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Symphyopappus itatiayensis",772391,"High","locality_exact","PARQUE NATURAL MUNICIPAL ITAIM"
,,"155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99557","3371","Barretto, EHP",,,"2023","11","27",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parque natural Municipal Itaim, Trilha OLA",,,"-23.540001","-46.630001","53584","0","0",,"Sordi, SJ","2024-02-19",,"Symphyopappus itatiayensis","Asteraceae","Symphyopappus",,"(Hook.) Donnell",,,,,"19","02","2024",,,,,,,,"UFP099557","Splink","UFP",,"Barretto, E.H.P.","3371","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","possibly_ok","Asteraceae","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","species","author misspelled","bfo-103488",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Symphyopappus","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Symphyopappus itatiayensis",1277053,"High","locality_exact","PARQUE NATURAL MUNICIPAL ITAIM"
,,"https://specieslink.net/col/634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","003222","3405","Barretto, EHP; Garcia, RJF; Gonçalves, AF; Barbosa, RS",,"2023-12-04","2023","12","4",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal Itaim, Trilha MAT",,,,,,,,,"De Sordi, SJ","2024-04-02",,"Piptocarpha reitziana Cabrera","Asteraceae","Piptocarpha","species","Cabrera","SYNONYM",,,"Piptocarpha oblonga subsp. lepidota (Sch.Bip.) G.Lom.Sm.",,,,"Piptocarpha reitziana","Piptocarpha oblonga",,"WGS84",,,,,"GBIF","HUFABC",,"Barretto, E.H.P.","3405","2023","Sordi, S.J.","2024","Garcia, R.J.F.; Goncalves, A.F.; Barbosa, R.S.","Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Piptocarpha reitziana","Cabrera","name_w_authors","Asteraceae","Piptocarpha reitziana","Cabrera","species","name accepted","bfo-134253",,,"Piptocarpha reitziana Cabrera","Piptocarpha","Asteraceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Piptocarpha reitziana",770372,"High","locality_exact","PARQUE NATURAL MUNICIPAL ITAIM"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","003222","3405","Barretto, EHP; Garcia, RJF; Gonçalves, AF; Barbosa, RS",,,"2023","12","04",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal Itaim, Trilha MAT",,,"-23.540001","-46.630001","53584","0","0",,"De Sordi, SJ","2024-04-02",,"Piptocarpha reitziana","Asteraceae","Piptocarpha",,"Cabrera",,,,,"02","04","2024",,,,,,,,"HUFABC003222","Splink","HUFABC",,"Barretto, E.H.P.","3405","2023","Sordi, S.J.","2024","Garcia, R.J.F.; Goncalves, A.F.; Barbosa, R.S.","Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","Piptocarpha reitziana","Cabrera","possibly_ok","Asteraceae","Piptocarpha reitziana","Cabrera","species","name accepted","bfo-134253",,,"Piptocarpha reitziana Cabrera","Piptocarpha","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Piptocarpha reitziana",892484,"High","locality_exact","PARQUE NATURAL MUNICIPAL ITAIM"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99555","3184","Barretto, EHP",,"2023-09-04","2023","9","4",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha CEA",,,,,,,,,"Sordi, SJ","2024-02-22",,"Mikania lasiandrae DC.","Asteraceae","Mikania","species","DC.","ACCEPTED",,,"Mikania lasiandrae DC.",,,,"Mikania lasiandrae","Mikania lasiandrae",,"WGS84",,,,,"GBIF","UFP",,"Barretto, E.H.P.","3184","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Mikania lasiandrae","DC.","name_w_authors","Asteraceae","Mikania lasiandrae","DC.","species","name accepted","bfo-5389",,,"Mikania lasiandrae DC.","Mikania","Asteraceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Mikania lasiandrae",772396,"High","locality_exact","PARQUE NATURAL MUNICIPAL ITAIM"
,,"155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99555","3184","Barretto, EHP",,,"2023","09","04",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parque natural Municipal Itaim, Trilha CEA",,,"-23.540001","-46.630001","53584","0","0",,"Sordi, SJ","2024-02-22",,"Mikania lasiandrae","Asteraceae","Mikania",,"DC.",,,,,"22","02","2024",,,,,,,,"UFP099555","Splink","UFP",,"Barretto, E.H.P.","3184","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","Mikania lasiandrae","DC.","possibly_ok","Asteraceae","Mikania lasiandrae","DC.","species","name accepted","bfo-5389",,,"Mikania lasiandrae DC.","Mikania","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Mikania lasiandrae",1277258,"High","locality_exact","PARQUE NATURAL MUNICIPAL ITAIM"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","413142","2396","Shirasuna, RT",,"2009-05-21","2009","5","21",,,,"Brasil","BR","São Paulo",,"Sâo Paulo","Parelheiros, Rodoanel trecho Sul, lote 4",,,"-23.802167","-46.72045",,,,,"Shirasuna, RT","2009-05-01",,"Merostachys neesii Rupr.","Poaceae","Merostachys","species","Rupr.","ACCEPTED",,,"Merostachys neesii Rupr.",,,,"Merostachys neesii","Merostachys neesii",,"WGS84",,,,,"GBIF","SP","code not found","Shirasuna, R.T.","2396","2009","Shirasuna, R.T.","2009",,"Shirasuna",,"brazil","sao paulo","sao paulo","parelheiros",,"locality","brazil_sao paulo_sao paulo_parelheiros","brazil_sao paulo_sao paulo_parelheiros",-23.8275,-46.72694444,"locality","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.802167,-46.72045,"coord_original","miliseconds","Merostachys neesii","Rupr.","name_w_authors","Poaceae","Merostachys neesii","Rupr.","species","name accepted","bfo-13340",,,"Merostachys neesii Rupr.","Merostachys","Poaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Merostachys neesii",659165,"Low","coord_original","PARQUE NATURAL MUNICIPAL ITAIM"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","413142","2396","Shirasuna, RT",,,"2009","05","21",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parelheiros, Rodoanel trecho Sul, lote 4",,,"-23.802167","-46.72045",,"-23.802167","-46.72045",,"Shirasuna, RT","2009-05-NA",,"Merostachys neesii","Poaceae","Merostachys",,"Rupr.",,,,,,"05","2009",,,,,,,,,"Splink","SP",,"Shirasuna, R.T.","2396","2009","Shirasuna, R.T.","2009",,"Shirasuna",,"brazil","sao paulo","sao paulo","parelheiros",,"locality","brazil_sao paulo_sao paulo_parelheiros","brazil_sao paulo_sao paulo_parelheiros",-23.8275,-46.72694444,"locality","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.802167,-46.72045,"coord_original","miliseconds","Merostachys neesii","Rupr.","possibly_ok","Poaceae","Merostachys neesii","Rupr.","species","name accepted","bfo-13340",,,"Merostachys neesii Rupr.","Merostachys","Poaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Merostachys neesii",976631,"Low","coord_original","PARQUE NATURAL MUNICIPAL ITAIM"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99554","3383","Barretto, EHP",,"2023-12-04","2023","12","4",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha PES",,,,,,,,,"Sordi, SJ","2024-02-19",,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","Asteraceae","Clibadium","species","(Balb.) Sch.Bip. & O.E.Schulz","ACCEPTED",,,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz",,,,"Clibadium armanii","Clibadium armanii",,"WGS84",,,,,"GBIF","UFP",,"Barretto, E.H.P.","3383","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","name_w_authors","Asteraceae","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","species","name accepted","bfo-16067",,,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","Clibadium","Asteraceae","high","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","Clibadium armanii",772395,"High","locality_exact","PARQUE NATURAL MUNICIPAL ITAIM"
,,"155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99554","3383","Barretto, EHP",,,"2023","12","04",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parque natural Municipal Itaim, Trilha PES",,,"-23.540001","-46.630001","53584","0","0",,"Sordi, SJ","2024-02-19",,"Clibadium armanii","Asteraceae","Clibadium",,"(Balb.) Sch.Bip. & O.E.Schulz",,,,,"19","02","2024",,,,,,,,"UFP099554","Splink","UFP",,"Barretto, E.H.P.","3383","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","possibly_ok","Asteraceae","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","species","author misspelled","bfo-16067",,,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","Clibadium","Asteraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Clibadium armanii",1276844,"High","locality_exact","PARQUE NATURAL MUNICIPAL ITAIM"
