"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26177","1374",,"<nO>XLS: SPSFAntigo;</nO>",,"1998","4","07",,,"<nO>XLS: SPSFAntigo;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE Cerrado Pé-de-Gigante",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,,,,"Styrax ferrugineus",,,"Styracaceae","Styrax",,,,"-21.71","-47.47",,,,,,"ferrugineus",,,,,,"SPSF00026177","Splink","SPSF",,,"1374","1998",,,,,,"brazil","sao paulo","santa rita do passa quatro","arie cerrado pe-de-gigante",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",-21.636119,-47.617193,"locality",1091765,"Styrax ferrugineus","Nees & Mart.","possibly_ok","Styracaceae","Styrax ferrugineus","Nees & Mart.","species","name accepted","bfo-26127",,,"Styrax ferrugineus Nees & Mart.","Styrax","Styracaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.709999,-47.470001,"coord_original","miliseconds","high","Styrax ferrugineus","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26177","FUEL_23133|PMSP_5765|SP_429781|SPFR_4494|SPSF_26177","1","0.25",,"SPFR_4494","SP_429781","plantr_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26191","1377",,"<nO>XLS: SPSFAntigo;</nO>",,"1998","4","07",,,"<nO>XLS: SPSFAntigo;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE-Cerrado Pé-de-Gigante, margem em direção à Via Anhaguera.",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,,,,"Piptocarpha rotundifolia",,,"Asteraceae","Piptocarpha",,,,"-21.71","-47.47",,,,,,"rotundifolia",,,,,,"SPSF00026191","Splink","SPSF",,,"1377","1998",,,,,,"brazil","sao paulo","santa rita do passa quatro","arie-cerrado pe-de-gigante",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",-21.636119,-47.617193,"locality",1083431,"Piptocarpha rotundifolia","(Less.) Baker","possibly_ok","Asteraceae","Piptocarpha rotundifolia","(Less.) Baker","species","name accepted","bfo-16244",,,"Piptocarpha rotundifolia (Less.) Baker","Piptocarpha","Asteraceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.709999,-47.470001,"coord_original","miliseconds","high","Piptocarpha rotundifolia","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26191","PMSP_5785|SPFR_4968|SPSF_26191","1","0.25",,"SPFR_4968","PMSP_5785","locality_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26156","1376",,"<nO>XLS: SPSFAntigo;</nO>",,"1998","4","07",,,"<nO>XLS: SPSFAntigo;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE Cerrado Pé-de-Gigante, Margem em direção à Via Anhaguera.",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,,,,"Kielmeyera rubriflora",,,"Calophyllaceae","Kielmeyera",,,,"-21.71","-47.47",,,,,,"rubriflora",,,,,,"SPSF00026156","Splink","SPSF",,,"1376","1998",,,,,,"brazil","sao paulo","santa rita do passa quatro","arie cerrado pe-de-gigante",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",-21.636119,-47.617193,"locality",1079624,"Kielmeyera rubriflora","Cambess.","possibly_ok","Calophyllaceae","Kielmeyera rubriflora","Cambess.","species","name accepted","bfo-16878",,,"Kielmeyera rubriflora Cambess.","Kielmeyera","Calophyllaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.709999,-47.470001,"coord_original","miliseconds","high","Kielmeyera rubriflora","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26156","PMSP_5779|SPFR_4896|SPSF_26156","1","0.25",,"SPFR_4896","PMSP_5779","plantr_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26172","1293",,"<nO>XLS: SPSFAntigo;</nO>",,"1998","2","03",,,"<nO>XLS: SPSFAntigo;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE - Cerrado Pé-de-Gigante. Área demarcada",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,,,,"Eugenia punicifolia",,,"Myrtaceae","Eugenia",,,,"-21.71","-47.47",,,,,,"punicifolia",,,,,,"SPSF00026172","Splink","SPSF",,,"1293","1998",,,,,,"brazil","sao paulo","santa rita do passa quatro","arie",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county",979426,"Eugenia punicifolia","(Kunth) DC.","possibly_ok","Myrtaceae","Eugenia punicifolia","(Kunth) DC.","species","name accepted","bfo-10515",,,"Eugenia punicifolia (Kunth) DC.","Eugenia","Myrtaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.709999,-47.470001,"coord_original","miliseconds","high","Eugenia punicifolia","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26172","SPFR_4569|SPSF_26172","1","0.25",,"SPFR_4569","SPFR_4569","plantr_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26167","1257",,"<nO>XLS: SPSFAntigo;</nO>",,"1998","1","16",,,"<nO>XLS: SPSFAntigo;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE Cerrado Pé-de-Gigante, Área demarcada",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,"M.C.H.Mamede",,,"Banisteriopsis stellaris",,,"Malpighiaceae","Banisteriopsis",,,,"-21.71","-47.47",,,,,,"stellaris",,,,,,"SPSF00026167","Splink","SPSF",,,"1257","1998","Mamede, M.C.H.",,,,,"brazil","sao paulo","santa rita do passa quatro","arie cerrado pe-de-gigante",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",-21.636119,-47.617193,"locality",980232,"Banisteriopsis stellaris","(Griseb.) B.Gates","possibly_ok","Malpighiaceae","Banisteriopsis stellaris","(Griseb.) B.Gates","species","name accepted","bfo-19411",,,"Banisteriopsis stellaris (Griseb.) B.Gates","Banisteriopsis","Malpighiaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.71,-47.47,"coord_original","miliseconds","high","Banisteriopsis stellaris","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26167","SP_335091|SPFR_4506|SPSF_26167","1","0.25","SPFR_4506","SPSF_26167","SP_335091","plantr_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26198","1276",,"<nO>XLS: SPSFAntigo Herbácea ca. 0,5 m alt. Glomérulo cluso; flores rosadas; estames róseo intenso.; Margem do riacho.;</nO>",,"1998","1","16",,,"<nO>XLS: SPSFAntigo Herbácea ca. 0,5 m alt. Glomérulo cluso; flores rosadas; estames róseo intenso.; Margem do riacho.;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE Cerrado Pé-de-Gigante",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,"L.S.B. Jordão","2017-4-  24",,"Mimosa debilis debilis",,,"Fabaceae","Mimosa",,,,"-21.71","-47.47",,"24","4","2017","Mimosa debilis debilis","debilis",,,,,,"SPSF00026198","Splink","SPSF",,,"1276","1998","Administrador","2023",,,,"brazil","sao paulo","santa rita do passa quatro","arie cerrado pe-de-gigante",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",-21.636119,-47.617193,"locality",11606,"Mimosa debilis var. debilis","Humb. & Bonpl. ex Willd.","affinis","Fabaceae","Mimosa debilis var. debilis","Humb. & Bonpl. ex Willd.","variety","name accepted","bfo-83410",,,"Mimosa debilis var. debilis Humb. & Bonpl. ex Willd.","Mimosa","Fabaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.709999,-47.470001,"coord_original","miliseconds","high","Mimosa debilis","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26198","ESA_105700|FUEL_23135|SPF_190879|SPFR_4490|SPSF_26198","1","0.25","SPF_190879","FUEL_23135","SPF_190879","plantr_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26233","1302",,"<nO>XLS: SPSFAntigo;</nO>",,"1998","2","03",,,"<nO>XLS: SPSFAntigo;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE Cerrado Pé-de-Gigante. Margem próxima à Via Anhanguera",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,"G.H.Shimizu","2007-11-  29",,"Vochysia cinnamomea",,,"Vochysiaceae","Vochysia",,,,"-21.71","-47.47",,"29","11","2007",,"cinnamomea",,,,,,"SPSF00026233","Splink","SPSF",,,"1302","1998","Shimizu, G.H.","2009",,,,"brazil","sao paulo","santa rita do passa quatro","arie cerrado pe-de-gigante",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",-21.636119,-47.617193,"locality",981343,"Vochysia cinnamomea","Pohl","possibly_ok","Vochysiaceae","Vochysia cinnamomea","Pohl","species","name accepted","bfo-15300",,,"Vochysia cinnamomea Pohl","Vochysia","Vochysiaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.71,-47.47,"coord_original","miliseconds","high","Vochysia cinnamomea","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26233","SPFR_5150|SPSF_26233|UEC_151891","1","0.25","UEC_151891","SPSF_26233","SPFR_5150","plantr_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26163","1275",,"<nO>XLS: SPSFAntigo;</nO>",,"1998","1","16",,,"<nO>XLS: SPSFAntigo;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE-Cerrado Pé-de-Gigante",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,,,,"Stizophyllum perforatum",,,"Bignoniaceae","Stizophyllum",,,,"-21.71","-47.47",,,,,,"perforatum",,,,,,"SPSF00026163","Splink","SPSF",,,"1275","1998","Weiser, V.L.","2000",,,,"brazil","sao paulo","santa rita do passa quatro","arie-cerrado pe-de-gigante",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",-21.636119,-47.617193,"locality",1091621,"Stizophyllum perforatum","(Cham.) Miers","possibly_ok","Bignoniaceae","Stizophyllum perforatum","(Cham.) Miers","species","name accepted","bfo-113931",,,"Stizophyllum perforatum (Cham.) Miers","Stizophyllum","Bignoniaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.71,-47.47,"coord_original","miliseconds","high","Stizophyllum perforatum","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26163","RB_1467187|SPFR_4876|SPSF_26163","1","0.25","RB_1467187","SPSF_26163","SPFR_4876","locality_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"FFCLRP","SPFR",,"PRESERVED_SPECIMEN","5153","833",,"<nO>Epífita. Flores de tépas marrom claro. Frutos marrom escuro.;Área demarcada</nO>",,"1997","5","9",,,"<nO>Epífita. Flores de tépas marrom claro. Frutos marrom escuro.;Área demarcada</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE - Cerrado Pé-de-Gigante",,,"-21.709999","-47.470001","24893","21°37'34""S","47°37'48""W",,"Nunes, J.V.C.",,,"Tillandsia recurvata",,,"Bromeliaceae","Tillandsia",,,,"-21.709999","-47.470001",,,,,,"recurvata",,,,,,"SPFR005153","Splink","SPFR",,,"833","1997","Nunes, J.V.C.",,,,,"brazil","sao paulo","santa rita do passa quatro","arie",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county",1074467,"Tillandsia recurvata","(L.) L.","possibly_ok","Bromeliaceae","Tillandsia recurvata","(L.) L.","species","name accepted","bfo-6399",,,"Tillandsia recurvata (L.) L.","Tillandsia","Bromeliaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.709999,-47.470001,"coord_original","miliseconds","high","Tillandsia recurvata","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPFR_5153",,"0","0",,,,"plantr_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
,,,,"SPSF","SPSF",,"PRESERVED_SPECIMEN","26208","1232",,"<nO>XLS: SPSFAntigo;</nO>",,"1997","12","01",,,"<nO>XLS: SPSFAntigo;</nO>","Brasil",,"São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","ARIE Cerrado Pé-de-Gigante. Área demarcada",,,"-21.71","-47.47",,"21º42'36''S","47º28'12''W",,,,,"Qualea multiflora",,,"Vochysiaceae","Qualea",,,,"-21.71","-47.47",,,,,,"multiflora",,,,,,"SPSF00026208","Splink","SPSF",,,"1232","1997",,,,,,"brazil","sao paulo","santa rita do passa quatro","arie cerrado pe-de-gigante",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",-21.636119,-47.617193,"locality",971441,"Qualea multiflora","Mart.","possibly_ok","Vochysiaceae","Qualea multiflora","Mart.","species","name accepted","bfo-15293",,,"Qualea multiflora Mart.","Qualea","Vochysiaceae","brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ibge",TRUE,-21.709999,-47.470001,"coord_original","miliseconds","high","Qualea multiflora","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_26208","MBM_402337|RB_1012383|SPFR_5149|SPSF_26208|UEC_186664","1","0.25",,"UEC_186664","SPFR_5149","plantr_exact","High","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE"
