"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","53189","6833","N.M.Ivanauskas",,,"2017","07","19",,,,"Brasil",,"SP","Bertióga","Bertióga","Parque Estadual Restinga de Bertioga",,,"-23.758056","-45.925833",,,,,"C.Kameyama","2017-07-19",,"Brillantaisia lamium","Acanthaceae","Brillantaisia",,"(Nees) (Benth.)",,,,,"19","07","2017",,,,,,,,"SPSF00053189","Splink","SPSF",,"Ivanauskas, N.M.","6833","2017","Kameyama, C.","2017",,"Ivanauskas",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.758056,-45.925833,"coord_original","seconds","Brillantaisia lamium","(Nees) Benth.","possibly_ok","Acanthaceae","Brillantaisia lamium","(Nees) Benth.","species","author misspelled","bfo-605025",,,"Brillantaisia lamium (Nees) Benth.","Brillantaisia","Acanthaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Brillantaisia lamium",846169,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15302","5389","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR2-C-P2",,,"-23.854401","-46.138599","37616","0","0",,"M.P.Sandrini",,,"Zollernia ilicifolia","Fabaceae","Zollernia",,"(Brongn.) Vogel",,,,,,,,,,,,,,,"HUSC015302","Splink","HUSC",,"Ambiental, A.C.","5389",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.854401,-46.138599,"coord_original","miliseconds","Zollernia ilicifolia","(Brongn.) Vogel","possibly_ok","Fabaceae","Zollernia ilicifolia","(Brongn.) Vogel","species","name accepted","bfo-29915",,,"Zollernia ilicifolia (Brongn.) Vogel","Zollernia","Fabaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Zollernia ilicifolia",1345255,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15274","2024","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR7-C-P4",,,"-23.791975","-46.092953",,"-23.791975","-46.092953",,"M.P.Sandrini",,,"Sorocea jureiana","Moraceae","Sorocea",,"Romaniuc",,,,,,,,,,,,,,,"HUSC015274","Splink","HUSC",,"Ambiental, A.C.","2024",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.791975,-46.092953,"coord_original","miliseconds","Sorocea jureiana","Romaniuc","possibly_ok","Moraceae","Sorocea jureiana","Romaniuc","species","name accepted","bfo-10194",,,"Sorocea jureiana Romaniuc","Sorocea","Moraceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Sorocea jureiana",1342713,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","12935","7941","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR8-B-P4",,,"-23.784806","-46.091403",,"-23.784806","-46.091403",,"M.P.Sandrini",,,"Mouriri chamissoana","Melastomataceae","Mouriri",,"Cogn.",,,,,,,,,,,,,,,"HUSC012935","Splink","HUSC",,"Ambiental, A.C.","7941",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.784806,-46.091403,"coord_original","miliseconds","Mouriri chamissoana","Cogn.","possibly_ok","Melastomataceae","Mouriri chamissoana","Cogn.","species","name accepted","bfo-9817",,,"Mouriri chamissoana Cogn.","Mouriri","Melastomataceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Mouriri chamissoana",1342072,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15425","851","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR6",,,"-23.789306","-46.112747",,"-23.789306","-46.112747",,"M.P.Sandrini",,,"Justicia carnea","Acanthaceae","Justicia",,"Lindl.",,,,,,,,,,,,,,,"HUSC015425","Splink","HUSC",,"Ambiental, A.C.","851",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.789306,-46.112747,"coord_original","miliseconds","Justicia carnea","Lindl.","possibly_ok","Acanthaceae","Justicia carnea","Lindl.","species","name accepted","bfo-4141",,,"Justicia carnea Lindl.","Justicia","Acanthaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Justicia carnea",1341843,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15457","2308","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1-E-P1",,,"-23.799339","-46.120136",,"-23.799339","-46.120136",,"M.P.Sandrini",,,"Garcinia gardneriana","Clusiaceae","Garcinia",,"(Planch. & Triana) Zappi",,,,,,,,,,,,,,,"HUSC015457","Splink","HUSC",,"Ambiental, A.C.","2308",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.799339,-46.120136,"coord_original","miliseconds","Garcinia gardneriana","(Planch. & Triana) Zappi","possibly_ok","Clusiaceae","Garcinia gardneriana","(Planch. & Triana) Zappi","species","name accepted","bfo-6853",,,"Garcinia gardneriana (Planch. & Triana) Zappi","Garcinia","Clusiaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Garcinia gardneriana",1341645,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15426","852","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR3",,,"-23.792828","-46.116389",,"-23.792828","-46.116389",,"M.P.Sandrini",,,"Aphelandra prismatica","Acanthaceae","Aphelandra",,"(Vell.) Hiern",,,,,,,,,,,,,,,"HUSC015426","Splink","HUSC",,"Ambiental, A.C.","852",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.792828,-46.116389,"coord_original","seconds","Aphelandra prismatica","(Vell.) Hiern","possibly_ok","Acanthaceae","Aphelandra prismatica","(Vell.) Hiern","species","name accepted","bfo-4108",,,"Aphelandra prismatica (Vell.) Hiern","Aphelandra","Acanthaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Aphelandra prismatica",1343115,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15009","41","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau.",,,"-23.787853","-46.107483",,"-23.787853","-46.107483",,"M.P.Sandrini",,,"Alchornea triplinervia","Euphorbiaceae","Alchornea",,"(Spreng.) Müll.Arg.",,,,,,,,,,,,,,,"HUSC015009","Splink","HUSC",,"Ambiental, A.C.","41",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.787853,-46.107483,"coord_original","miliseconds","Alchornea triplinervia","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Alchornea triplinervia","(Spreng.) Müll.Arg.","species","name accepted","bfo-17458",,,"Alchornea triplinervia (Spreng.) Müll.Arg.","Alchornea","Euphorbiaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Alchornea triplinervia",1340861,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15448","836","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1-A",,,"-23.854401","-46.138599","37616","0","0",,"M.P.Sandrini",,,"Aechmea nudicaulis","Bromeliaceae","Aechmea",,"(L.) Griseb.",,,,,,,,,,,,,,,"HUSC015448","Splink","HUSC",,"Ambiental, A.C.","836",,"Sandrini, M.P.",,,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.854401,-46.138599,"coord_original","miliseconds","Aechmea nudicaulis","(L.) Griseb.","possibly_ok","Bromeliaceae","Aechmea nudicaulis","(L.) Griseb.","species","name accepted","bfo-5847",,,"Aechmea nudicaulis (L.) Griseb.","Aechmea","Bromeliaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Aechmea nudicaulis",1340841,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","15517","769","Aquática Consultoria Ambiental",,,,,,,,,"Brasil",,"Sao Paulo","Bertioga","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR3",,,"-23.792828","-46.116389",,"-23.792828","-46.116389",,"M.P.Sandrini","2021-01-NA",,"Guapira pernambucensis","Nyctaginaceae","Guapira",,"(Casar.) Lundell",,,,,,"01","2021",,,,,,,,"HUSC015517","Splink","HUSC",,"Ambiental, A.C.","769",,"Sandrini, M.P.","2021",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county","brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"ibge",TRUE,-23.792828,-46.116389,"coord_original","seconds","Guapira pernambucensis","(Casar.) Lundell","possibly_ok","Nyctaginaceae","Guapira pernambucensis","(Casar.) Lundell","species","name accepted","bfo-10914",,,"Guapira pernambucensis (Casar.) Lundell","Guapira","Nyctaginaceae","low","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","Guapira pernambucensis",1343836,"High","locality_exact","PARQUE ESTADUAL RESTINGA DE BERTIOGA"
