"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44155","819","R.A.F.Lima & A.G.Aguirre",,,"2008","10","22",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará",,,"-23.65","-47.220001","43112",,,,"O.T. Aguiar","2014-08-25",,"Myrcia splendens","Myrtaceae","Myrcia",,"(Sw.) DC.",,,,,"25","08","2014",,,,,,,,"SPSF00044155","Splink","SPSF",,"Lima, R.A.F.","819","2008","Aguiar, O.T.","2014","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Myrcia splendens","(Sw.) DC.","possibly_ok","Myrtaceae","Myrcia splendens","(Sw.) DC.","species","name accepted","bfo-10759",,,"Myrcia splendens (Sw.) DC.","Myrcia","Myrtaceae","Myrcia splendens",843870,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge","high",TRUE,-23.65,-47.220001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_44155",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44172","835","R.A.F.Lima & A.G.Aguirre",,,"2008","12","10",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará",,,"-23.65","-47.220001","43112",,,,"M. Reginato","2014-02-12",,"Leandra regnellii","Melastomataceae","Leandra",,"((Triana) Cogn.)",,,,,"12","02","2014",,,,,,,,"SPSF00044172","Splink","SPSF",,"Lima, R.A.F.","835","2008","Reginato, M.","2014","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Leandra regnellii","(Triana) Cogn.","possibly_ok","Melastomataceae","Leandra regnellii","(Triana) Cogn.","species","author misspelled","bfo-9604",,,"Leandra regnellii (Triana) Cogn.","Leandra","Melastomataceae","Leandra regnellii",842386,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge","high",TRUE,-23.65,-47.220001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_44172",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44178","841","R.A.F.Lima & A.G.Aguirre",,,"2008","10","23",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará, Base Fumaça",,,"-23.65","-47.220001","43112",,,,"M. Reginato","2014-02-13",,"Leandra fallax","Melastomataceae","Leandra",,"(Cham.) Cogn.",,,,,"13","02","2014",,,,,,,,"SPSF00044178","Splink","SPSF",,"Lima, R.A.F.","841","2008","Reginato, M.","2014","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Leandra fallax","(Cham.) Cogn.","possibly_ok","Melastomataceae","Leandra fallax","(Cham.) Cogn.","species","name accepted","bfo-9538",,,"Leandra fallax (Cham.) Cogn.","Leandra","Melastomataceae","Leandra fallax",830508,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge","high",TRUE,-23.65,-47.220001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_44178",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44163","827","R.A.F.Lima & A.G.Aguirre",,,"2008","10","23",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará, Base Fumaça",,,"-23.65","-47.220001","43112",,,,"M. Reginato","2014-02-13",,"Leandra brackenridgei","Melastomataceae","Leandra",,"((A.Gray)) (Cogn.)",,,,,"13","02","2014",,,,,,,,"SPSF00044163","Splink","SPSF",,"Lima, R.A.F.","827","2008","Reginato, M.","2014","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Leandra brackenridgei","(A.Gray) Cogn.","possibly_ok","Melastomataceae","Leandra brackenridgei","(A.Gray) Cogn.","species","author misspelled","bfo-9512",,,"Leandra brackenridgei (A.Gray) Cogn.","Leandra","Melastomataceae","Leandra brackenridgei",842315,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge","high",TRUE,-23.65,-47.220001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_44163",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44168","831","R.A.F.Lima & A.G.Aguirre",,,"2008","10","24",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará",,,"-23.65","-47.220001","43112",,,,"L.Biral","2012-02-25",,"Monteverdia schumanniana","Celastraceae","Monteverdia",,"((Loes.)) Biral",,,,,"25","02","2012",,,,,,,,"SPSF00044168","Splink","SPSF",,"Lima, R.A.F.","831","2008","Biral, L.","2012","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Monteverdia schumanniana","(Loes.) Biral","possibly_ok","Celastraceae","Monteverdia schumanniana","(Loes.) Biral","species","author misspelled","bfo-604626",,,"Monteverdia schumanniana (Loes.) Biral","Monteverdia","Celastraceae","Monteverdia schumanniana",843530,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge","high",TRUE,-23.65,-47.220001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPSF_44168",,"cc","cc",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44184","847","R.A.F.Lima & A.G.Aguirre",,,"2008","10","20",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará, Base roda D'Água",,,"-23.65","-47.220001","43112",,,,"G.Heiden","2011-06-17",,"Baccharis montana","Asteraceae","Baccharis",,"D.C.",,,,,"17","06","2011",,,,,,,,"SPSF00044184","Splink","SPSF",,"Lima, R.A.F.","847","2008","Heiden, G.","2011","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Baccharis montana","DC.","possibly_ok","Asteraceae","Baccharis montana","DC.","species","author misspelled","bfo-104350",,,"Baccharis montana DC.","Baccharis","Asteraceae","Baccharis montana",873918,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge","high",TRUE,-23.65,-47.220001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_44184",,"cc","cc",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","35129","907","F. A. R. D. P. Arzolla & F.E.S.P.Vilela & G.C.R.de Paula",,,"2005","08","04",,,,"Brasil",,"SP","Miracatu","Miracatu","Parque Estadual Jurupará",,,"-24.280001","-47.459999","43974",,,,"M.G.L.Wanderley","2007-03-01",,"Tillandsia stricta","Bromeliaceae","Tillandsia",,"Sol. ex Sims",,,,,"01","03","2007",,,,,,,,"SPSF00035129","Splink","SPSF",,"Arzolla, F.A.R.D.P.","907","2005","Wanderley, M.G.L.","2007","Vilela, F.E.S.P.; Paula, G.C.R.","Arzolla",,"brazil","sao paulo","miracatu","parque estadual jurupara",,"locality","brazil_sao paulo_miracatu","brazil_sao paulo_miracatu",-24.19476735,-47.39449137,"county","Tillandsia stricta","Sol.","possibly_ok","Bromeliaceae","Tillandsia stricta","Sol.","species","author misspelled","bfo-6407",,,"Tillandsia stricta Sol.","Tillandsia","Bromeliaceae","Tillandsia stricta",836093,"brazil_sao paulo_miracatu","Brazil","São Paulo","Miracatu",,"ibge","high",TRUE,-24.280001,-47.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_35129",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","34596","s/n","A.C.Dias",,,"2005","05","12",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará",,,"-23.65","-47.220001","43112",,,,"O.T.Aguiar","2005-05-19",,"Myrcia pubipetala","Myrtaceae","Myrcia",,,,,,,"19","05","2005",,,,,,,,"SPSF00034596","Splink","SPSF",,"Dias, A.C.",,"2005","Aguiar, O.T.","2005",,"Dias",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Myrcia pubipetala","Miq.","possibly_ok","Myrtaceae","Myrcia pubipetala","Miq.","species","name accepted","bfo-10743",,,"Myrcia pubipetala Miq.","Myrcia","Myrtaceae","Myrcia pubipetala",843759,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge","high",TRUE,-23.65,-47.220001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_34596",,"cc","cc",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","19246","619","J.A.Pastore & J.B.Baitello",,,"1995","07","28",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará, Fazenda Tucano",,,"-23.65","-47.220001","43112",,,,,,,"Cabralea canjerana subsp. canjerana","Meliaceae","Cabralea",,,,,,,,,,,,,,,,,"SPSF00019246","Splink","SPSF",,"Pastore, J.A.","619","1995",,,"Baitello, J.B.","Pastore",,"brazil","sao paulo","ibiuna","parque estadual de jurupara, fazenda tucano","parque estadual de jurupara","locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Cabralea canjerana subsp. canjerana","(Vell.) Mart.","subspecies","Meliaceae","Cabralea canjerana subsp. canjerana","(Vell.) Mart.","subspecies","name accepted","bfo-19734",,,"Cabralea canjerana subsp. canjerana (Vell.) Mart.","Cabralea","Meliaceae","Cabralea canjerana",22934,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge","high",TRUE,-23.65,-47.220001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_19246",,"cc","cc",,,,"High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","19284","639","J.A.Pastore & O.T. Aguiar",,,"1995","08","11",,,,"Brasil",,"São Paulo","Miracatu","Miracatu","Parque Estadual de Jurupará, região do ribeirão do Mico",,,"-24.280001","-47.459999","43974",,,"Parátipo","J.B. Baitello","2021-12-01",,"Rapanea hermogenesii","Primulaceae","Rapanea",,"L.C.Bernacci & Jung-Mend.",,,,,"01","12","2021",,,,,,,,"SPSF00019284","Splink","SPSF",,"Pastore, J.A.","639","1995",,,"Aguiar, O.T.","Pastore",,"brazil","sao paulo","miracatu","parque estadual de jurupara",,"locality","brazil_sao paulo_miracatu","brazil_sao paulo_miracatu",-24.19476735,-47.39449137,"county","Myrsine hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","possibly_ok","Primulaceae","Myrsine hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","species","author misspelled|replaced synonym","bfo-101411","Myrsine hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Myrsine","Primulaceae","Myrsine hermogenesii",846409,"brazil_sao paulo_miracatu","Brazil","São Paulo","Miracatu",,"ibge","high",TRUE,-24.280001,-47.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_19284","IAC_31849|SP_290941|SPF_107445|SPSF_19284|UEC_74616","4","1","SP_290941","SP_290941","SP_290941","High","plantr_exact","PARQUE ESTADUAL JURUPARÁ"
