"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","199274","68","Esteves, R",,,,,"27",,,,"Brazil",,"São Paulo","Ibiúna","Ibiúna","Parque Estadual de Jurupará.",,,"-23.65","-47.220001","43112",,,,"Goldenberg, R",,,"Miconia brunnea","Melastomataceae","Miconia",,"DC.",,,,,,,,,,,,,,,"MBM199274","Splink","MBM",,"Esteves, R.","68",,"Goldenberg, R.",,,"Esteves",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Miconia brunnea","DC.","possibly_ok","Melastomataceae","Miconia brunnea","DC.","species","name accepted","bfo-9676",,,"Miconia brunnea DC.","Miconia","Melastomataceae","Miconia brunnea",1231696,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","189664","468","Pastore, JA",,,,,"27",,,,"Brazil",,"São Paulo","Ibiúna","Ibiúna","Parque Estadual de Jurupará.",,,"-23.65","-47.220001","43112",,,,"Souza, ML; et al.",,,"Leandra fragilis","Melastomataceae","Leandra",,"Cogn.",,,,,,,,,,,,,,,"MBM189664","Splink","MBM",,"Pastore, J.A.","468",,"Souza, M.L.",,,"Pastore",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Leandra melastomoides","Raddi","possibly_ok","Melastomataceae","Leandra melastomoides","Raddi","species","replaced synonym","bfo-9572","Leandra melastomoides","Raddi","Leandra melastomoides Raddi","Leandra","Melastomataceae","Leandra melastomoides",1239818,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","221173","9306","Engels, ME",,,"2021","9","24",,,,"Brazil",,"São Paulo","Ibiúna","Ibiúna",,,,"-23.65","-47.220001","43112",,,"HOLOTYPE","Engels, ME","2022-6-26",,"Microchilus dasilvae","Orchidaceae","Microchilus",,"Engels & E.C.Smidt",,,,,"26","6","2022","Microchilus dasilvae",,,,,,,"MBM221173","Splink","MBM",,"Engels, M.E.","9306","2021","Engels, M.E.","2022",,"Engels",,"brazil","sao paulo","ibiuna",,,"municipality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Microchilus dasilvae","Engels & E.C.Smidt","possibly_ok",,"Microchilus dasilvae","Engels & E.C.Smidt","species","not found",,,,"Microchilus dasilvae Engels & E.C.Smidt","Microchilus","Orchidaceae","Microchilus dasilvae",1528061,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,,"no_cannot_check","no_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"204",,"UEFS","HUEFS",,"PRESERVED_SPECIMEN","210276","35111","Souza, V.C.",,,"2012","12","16",,,,"Brasil",,"São Paulo","Votorantim","Votorantim","Estrada do Carafá, 727, entrada da fazenda João Urquiza.",,,"-23.6","-47.333333",,"23Â°36'S","47Â°20'W",,"L.P.Queiroz","2025-02-NA",,"Rhynchosia edulis","Leguminosae Subfam. Papilionoideae","Rhynchosia",,"Griseb.",,,,,,"02","2025",,,,,,,,"HUEFS0210276","Splink","HUEFS",,"Souza, V.C.","35111","2012","Queiroz, L.P.","2025",,"Souza",,"brazil","sao paulo","votorantim","estrada do carafa, entrada da fazenda joao urquiza","estrada do carafa","locality","brazil_sao paulo_votorantim","brazil_sao paulo_votorantim",-23.57982399,-47.40647328,"county","Rhynchosia edulis","Griseb.","possibly_ok","Fabaceae","Rhynchosia edulis","Griseb.","species","name accepted","bfo-19013",,,"Rhynchosia edulis Griseb.","Rhynchosia","Fabaceae","Rhynchosia edulis",1301758,"brazil_sao paulo_votorantim","Brazil","São Paulo","Votorantim",,"ibge",TRUE,-23.6,-47.333333,"coord_original","minutes","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44155","819","R.A.F.Lima & A.G.Aguirre",,,"2008","10","22",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará",,,"-23.65","-47.220001","43112",,,,"O.T. Aguiar","2014-08-25",,"Myrcia splendens","Myrtaceae","Myrcia",,"(Sw.) DC.",,,,,"25","08","2014",,,,,,,,"SPSF00044155","Splink","SPSF",,"Lima, R.A.F.","819","2008","Aguiar, O.T.","2014","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Myrcia splendens","(Sw.) DC.","possibly_ok","Myrtaceae","Myrcia splendens","(Sw.) DC.","species","name accepted","bfo-10759",,,"Myrcia splendens (Sw.) DC.","Myrcia","Myrtaceae","Myrcia splendens",843870,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44172","835","R.A.F.Lima & A.G.Aguirre",,,"2008","12","10",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará",,,"-23.65","-47.220001","43112",,,,"M. Reginato","2014-02-12",,"Leandra regnellii","Melastomataceae","Leandra",,"((Triana) Cogn.)",,,,,"12","02","2014",,,,,,,,"SPSF00044172","Splink","SPSF",,"Lima, R.A.F.","835","2008","Reginato, M.","2014","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Leandra regnellii","(Triana) Cogn.","possibly_ok","Melastomataceae","Leandra regnellii","(Triana) Cogn.","species","author misspelled","bfo-9604",,,"Leandra regnellii (Triana) Cogn.","Leandra","Melastomataceae","Leandra regnellii",842386,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44178","841","R.A.F.Lima & A.G.Aguirre",,,"2008","10","23",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará, Base Fumaça",,,"-23.65","-47.220001","43112",,,,"M. Reginato","2014-02-13",,"Leandra fallax","Melastomataceae","Leandra",,"(Cham.) Cogn.",,,,,"13","02","2014",,,,,,,,"SPSF00044178","Splink","SPSF",,"Lima, R.A.F.","841","2008","Reginato, M.","2014","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Leandra fallax","(Cham.) Cogn.","possibly_ok","Melastomataceae","Leandra fallax","(Cham.) Cogn.","species","name accepted","bfo-9538",,,"Leandra fallax (Cham.) Cogn.","Leandra","Melastomataceae","Leandra fallax",830508,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44163","827","R.A.F.Lima & A.G.Aguirre",,,"2008","10","23",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará, Base Fumaça",,,"-23.65","-47.220001","43112",,,,"M. Reginato","2014-02-13",,"Leandra brackenridgei","Melastomataceae","Leandra",,"((A.Gray)) (Cogn.)",,,,,"13","02","2014",,,,,,,,"SPSF00044163","Splink","SPSF",,"Lima, R.A.F.","827","2008","Reginato, M.","2014","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Leandra brackenridgei","(A.Gray) Cogn.","possibly_ok","Melastomataceae","Leandra brackenridgei","(A.Gray) Cogn.","species","author misspelled","bfo-9512",,,"Leandra brackenridgei (A.Gray) Cogn.","Leandra","Melastomataceae","Leandra brackenridgei",842315,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44168","831","R.A.F.Lima & A.G.Aguirre",,,"2008","10","24",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará",,,"-23.65","-47.220001","43112",,,,"L.Biral","2012-02-25",,"Monteverdia schumanniana","Celastraceae","Monteverdia",,"((Loes.)) Biral",,,,,"25","02","2012",,,,,,,,"SPSF00044168","Splink","SPSF",,"Lima, R.A.F.","831","2008","Biral, L.","2012","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Monteverdia schumanniana","(Loes.) Biral","possibly_ok","Celastraceae","Monteverdia schumanniana","(Loes.) Biral","species","author misspelled","bfo-604626",,,"Monteverdia schumanniana (Loes.) Biral","Monteverdia","Celastraceae","Monteverdia schumanniana",843530,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44184","847","R.A.F.Lima & A.G.Aguirre",,,"2008","10","20",,,,"Brasil",,"SP","Ibiúna","Ibiúna","Parque Estadual de Jurupará, Base roda D'Água",,,"-23.65","-47.220001","43112",,,,"G.Heiden","2011-06-17",,"Baccharis montana","Asteraceae","Baccharis",,"D.C.",,,,,"17","06","2011",,,,,,,,"SPSF00044184","Splink","SPSF",,"Lima, R.A.F.","847","2008","Heiden, G.","2011","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county","Baccharis montana","DC.","possibly_ok","Asteraceae","Baccharis montana","DC.","species","author misspelled","bfo-104350",,,"Baccharis montana DC.","Baccharis","Asteraceae","Baccharis montana",873918,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"ibge",TRUE,-23.65,-47.220001,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA"
