"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"2",,"UNICAMP","UEC",,,"107455","879","Kozera, C; Vanini, A; Hayashi, AH; Lima, CBK",,,"1999","01","13",,,,"Brazil",,"São Paulo","Iguape","Iguape","Estação Ecológica de Chaúas.",,,"-24.700001","-47.549999","55628","0","0",,"Goldenberg, R","2013-02-NA",,"Leandra variabilis","Melastomataceae","Leandra",,"Raddi",,,,,,"02","2013",,,,,,,,"UEC050826","Splink","UEC",,"Kozera, C.","879","1999","Goldenberg, R.","2013","Vanini, A.; Hayashi, A.H.; Lima, C.B.K.","Kozera",,"brazil","sao paulo","iguape","estacao ecologica de chauas",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Leandra variabilis","Raddi","possibly_ok","Melastomataceae","Leandra variabilis","Raddi","species","name accepted","bfo-9638",,,"Leandra variabilis Raddi","Leandra","Melastomataceae","Leandra variabilis",1098748,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"64",,"IAC","IAC",,"PRESERVED_SPECIMEN","38310","78","M.R. Gorenstein et al.",,,"1999","01","10",,,,"Brasil",,"São Paulo","Iguape","Iguape","Estação Ecológica de Chauas",,,"-24.7333333","-47.6833333",,"-24.7333333","-47.6833333",,"S.L. Jung-Mendaçolli","1999-08-17",,"Psychotria hastisepala","Rubiaceae","Psychotria",,"Müll.Arg.",,,,,"17","08","1999",,,,,,,,,"Splink","IAC",,"Gorenstein, M.R.","78","1999","Jung-Mendacolli, S.L.","1999",,"Gorenstein",,"brazil","sao paulo","iguape","estacao ecologica de chauas",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Psychotria hastisepala","Müll.Arg.","possibly_ok","Rubiaceae","Psychotria hastisepala","Müll.Arg.","species","name accepted","bfo-14178",,,"Psychotria hastisepala Müll.Arg.","Psychotria","Rubiaceae","Psychotria hastisepala",887559,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.7333333,-47.6833333,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"2",,"UNICAMP","UEC",,,"107414","738","Kozera, C; Vanini, A; Hayashi, AH; Lima, CBK; Silva, CR",,,"1999","01","06",,,,"Brazil",,"São Paulo","Iguape","Iguape","Estação ecológica de Chauas. Trilha de acesso pelo sitio do Sr. João caçador, no km 78 da Rod. Pariqueira-Iguape.",,,"-24.783333","-47.7",,"-24.783333","-47.7",,"Souza, VC","1999-01-NA",,"Agalinis communis","Orobanchaceae","Agalinis",,"(Cham. & Schltdl.) D'Arcy",,,,,,"01","1999",,,,,,,,"UEC002174","Splink","UEC",,"Kozera, C.","738","1999","Souza, V.C.","1999","Vanini, A.; Hayashi, A.H.; Lima, C.B.K.; Silva, C.R.","Kozera",,"brazil","sao paulo","iguape","estacao ecologica de chauas",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Agalinis communis","(Cham. & Schltdl.) D'Arcy","possibly_ok","Orobanchaceae","Agalinis communis","(Cham. & Schltdl.) D'Arcy","species","name accepted","bfo-12408",,,"Agalinis communis (Cham. & Schltdl.) D'Arcy","Agalinis","Orobanchaceae","Agalinis communis",1082391,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.783333,-47.7,"coord_original","minutes","medium","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"229",,"UFJF","CESJ",,"PRESERVED_SPECIMEN","38148","827","C. Kozera",,,"1999","01","10",,,,"Brasil",,"São Paulo","Iguape","Iguape","Estação Ecológica de Chaúas, Trilha de Capuava do Mumuna",,,"-24.733333","-47.683333",,"-24.733333","-47.683333",,"M.C.A. Mota","2016-01-22",,"Aegiphila integrifolia","Lamiaceae","Aegiphila",,"(Jacq.) Moldenke",,,,,"22","01","2016",,,,,,,,"CESJ038148","Splink","CESJ",,"Kozera, C.","827","1999","Mota, M.C.A.","2016",,"Kozera",,"brazil","sao paulo","iguape","estacao ecologica de chauas",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Aegiphila integrifolia","(Jacq.) Moldenke","possibly_ok","Lamiaceae","Aegiphila integrifolia","(Jacq.) Moldenke","species","name accepted","bfo-23320",,,"Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila","Lamiaceae","Aegiphila integrifolia",1314185,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.733333,-47.683333,"coord_original","minutes","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","107530","898","Kozera, C; et al.",,"1999-01-13","1999","1","13",,,,"Brazil","BR","São Paulo",,"Iguape","estação ecológica de chauas",,,,,,,,,"Lima, CBK","1999-02-01",,"Psychotria carthagenensis Jacq.","Rubiaceae","Psychotria","species","Jacq.","ACCEPTED",,,"Psychotria carthagenensis Jacq.",,,,"Psychotria carthagenensis","Psychotria carthagenensis",,"WGS84","https://images.cria.org.br/viewer/UEC115039",,,,"GBIF","UEC",,"Kozera, C.","898","1999","Lima, C.B.K.","1999",,"Kozera",,"brazil","sao paulo","iguape","estacao ecologica de chauas",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Psychotria carthagenensis","Jacq.","name_w_authors","Rubiaceae","Psychotria carthagenensis","Jacq.","species","name accepted","bfo-14167",,,"Psychotria carthagenensis Jacq.","Psychotria","Rubiaceae","Psychotria carthagenensis",188189,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.54595667,-47.47318778,"coord_gazet","seconds_centroid","low","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,,,"Bioversity","Bioversity",,"OCCURRENCE","2434323","107381","Kozera, C.",,,,,,,,,"Brazil","BR","São Paulo","Iguape","Estacão Ecol_gica de Chauas",,,,"-24.733333","-47.683333",,"-24.733333","-47.683333",,,,,"Ilex pseudobuxus Reissek","Aquifoliaceae","Ilex","species",,"ACCEPTED",,,"Ilex pseudobuxus Reissek",,,,"Ilex pseudobuxus","Ilex pseudobuxus",,,,,,,"GBIF","Bioversity","code not found","Kozera, C.","107381",,,,,"Kozera",,"brazil","sao paulo","estacao ecol_gica de chauas",,,"municipality","brazil_sao paulo_estacao ecol_gica chauas","brazil_sao paulo",-22.2584562,-48.7420254,"state","Ilex pseudobuxus","Reissek","name_w_authors","Aquifoliaceae","Ilex pseudobuxus","Reissek","species","name accepted","bfo-4906",,,"Ilex pseudobuxus Reissek","Ilex","Aquifoliaceae","Ilex pseudobuxus",222033,"brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","minutes","unknown","check_municip.2state","ok_state",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"2",,"UNICAMP","UEC",,,"107508","51","Gorenstein, MR; Souza, FM; Betini, GS; Costa, CG; Garrote, V; Franco, G",,,"1999","01","07",,,,"Brazil",,"São Paulo","Iguape","Iguape","Estação Ecológica de Chauás. Floresta Ombrófila densa. Trilha de acesso pelo sítio do Sr. João caçador, no Km 78 da Rodovia Pariquera-Iguarape.",,,"-24.783333","-47.7",,"-24.783333","-47.7","paratype","Francischetti, RJ","2023-12-28",,"Myrcia tenondeporan","Myrtaceae","Myrcia",,"M.F. Santos & E. Barretto",,,,,"28","12","2023","Myrcia tenondeporan",,,,,,,"UEC063693","Splink","UEC",,"Gorenstein, M.R.","51","1999","Francischetti, R.J.","2023","Souza, F.M.; Betini, G.S.; Costa, C.G.; Garrote, V.; Franco, G.","Gorenstein",,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera-iguarape","estacao ecologica de chauas","locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Myrcia tenondeporan","M.F. Santos & E. Barretto","possibly_ok",,"Myrcia tenondeporan","M.F. Santos & E. Barretto","species","not found",,,,"Myrcia tenondeporan M.F. Santos & E. Barretto","Myrcia","Myrtaceae","Myrcia tenondeporan",1516858,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.783333,-47.7,"coord_original","minutes","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","no_match","Low","coord_original","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"2",,"UNICAMP","UEC",,,"109399","773","Kozera, C; Vanini, A; Hayashi, AH; Lima, CBK",,,"1999","01","07",,,,"Brazil",,"São Paulo","Iguape","Iguape","Estação Ecológica de Chauás. Trilha de acesso pelo sítio do Sr, João Caçador, no km 78 da Rodovia Pariquera-Iguape.",,,"-24.783333","-47.7",,"-24.783333","-47.7",,"Stehmann, JR","2023-01-27",,"Brunfelsia cuneifolia","Solanaceae","Brunfelsia",,"J.A.Schmidt",,,,,"27","01","2023",,,,,,,,"UEC199065","Splink","UEC",,"Kozera, C.","773","1999","Stehmann, J.R.","2023","Vanini, A.; Hayashi, A.H.; Lima, C.B.K.","Kozera",,"brazil","sao paulo","iguape","estacao ecologica de chauas, no km 78 da rodovia pariquera-iguape","estacao ecologica de chauas","locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Brunfelsia cuneifolia","J.A.Schmidt","possibly_ok","Solanaceae","Brunfelsia cuneifolia","J.A.Schmidt","species","name accepted","bfo-14598",,,"Brunfelsia cuneifolia J.A.Schmidt","Brunfelsia","Solanaceae","Brunfelsia cuneifolia",1086243,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.783333,-47.7,"coord_original","minutes","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","25168","73","D.Sampaio",,,"1999","01","06",,,,"Brasil",,"SP","Iguape","Iguape","E.Ecol.Chauás",,,"-24.783333","-47.7",,,,,"O.T. Aguiar","2017-04-19",,"Blepharocalyx salicifolius","Myrtaceae","Blepharocalyx",,,,,,,"19","04","2017",,,,,,,,"SPSF00025168","Splink","SPSF",,"Sampaio, D.","73","1999","Aguiar, O.T.","2017",,"Sampaio",,"brazil","sao paulo","iguape","estacao ecologicachauas",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Blepharocalyx salicifolius","(Kunth) O.Berg","possibly_ok","Myrtaceae","Blepharocalyx salicifolius","(Kunth) O.Berg","species","name accepted","bfo-10262",,,"Blepharocalyx salicifolius (Kunth) O.Berg","Blepharocalyx","Myrtaceae","Blepharocalyx salicifolius",849324,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.783333,-47.7,"coord_original","minutes","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ESTAÇÃO ECOLÓGICA CHAÚAS"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","25169","57","D.Sampaio et al.",,,"1999","01","06",,,,"Brasil",,"SP","Iguape","Iguape","Estação Ecológica de Chauás",,,"-24.783333","-47.7",,,,,"O.T.Aguiar","2016-06-15",,"Myrcia splendens","Myrtaceae","Myrcia",,"((Sw.)) DC.",,,,,"15","06","2016",,,,,,,,"SPSF00025169","Splink","SPSF",,"Sampaio, D.","57","1999","Aguiar, O.T.","2016",,"Sampaio",,"brazil","sao paulo","iguape","estacao ecologica de chauas",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Myrcia splendens","(Sw.) DC.","possibly_ok","Myrtaceae","Myrcia splendens","(Sw.) DC.","species","author misspelled","bfo-10759",,,"Myrcia splendens (Sw.) DC.","Myrcia","Myrtaceae","Myrcia splendens",841363,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.783333,-47.7,"coord_original","minutes","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ESTAÇÃO ECOLÓGICA CHAÚAS"
