"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","phylum","class","order","individualcount","continentocean","preparationtype","typeStatus","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previouscatalognumber","relationshiptype","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","HUSC015408","HUSC","15408","Acanthaceae","Plantae","Acanthaceae",,"2021","07","26","Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR6-B-P5","UNISANTA","PreservedSpecimen",,,,,"-23.801917","-46.108172","437",,"Aquática Consultoria Ambiental","-46.108172","-23.801917","2024-08-28T17:10:40",,"1",,,,,"Angiosperma",,,,,,,,,,,,,"SPLINK","Bertioga",,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","1","2021","s.n.","n.d.",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Acanthaceae","Juss.","family_as_genus","Acanthaceae","Acanthaceae","Juss.","family","name accepted","bfo-33",,,"Acanthaceae Juss.",,"Acanthaceae","unknown",
"speciesLink","HUSC015131","HUSC","15131","Acrostichum danaeifolium","Plantae","Pteridaceae","Acrostichum","2021","04","08","Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1","UNISANTA","PreservedSpecimen","M.P.Sandrini","2021","04",,"-23.800297","-46.120064","437","danaeifolium","Aquática Consultoria Ambiental","-46.120064","-23.800297","2023-10-05T10:51:33","Langsd. & Fisch.","Florística",,,,,,,,,,,,,,,,,,"SPLINK","Bertioga","2021-04-NA",,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","s.n.","2021","Sandrini, M.P.","2021",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Acrostichum danaeifolium","Langsd. & Fisch.","possibly_ok","Pteridaceae","Acrostichum danaeifolium","Langsd. & Fisch.","species","name accepted","bfo-91796",,,"Acrostichum danaeifolium Langsd. & Fisch.","Acrostichum","Pteridaceae","low","Acrostichum danaeifolium"
"speciesLink","HUSC015286","HUSC","15286","Adiantum terminatum","Plantae","Pteridaceae","Adiantum","2020","07","02","Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR9-A","UNISANTA","PreservedSpecimen","M.P.Sandrini","2020","07",,"-23.783747","-46.100392","437","terminatum","Aquática Consultoria Ambiental","-46.100392","-23.783747","2024-05-28T18:25:48","Kunze ex Miq.","939",,,,,,,,,,,,,,,,,,"SPLINK","Bertioga","2020-07-NA",,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","939","2020","Sandrini, M.P.","2020",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Adiantum terminatum","Kunze ex Miq.","possibly_ok","Pteridaceae","Adiantum terminatum","Kunze ex Miq.","species","name accepted","bfo-91858",,,"Adiantum terminatum Kunze ex Miq.","Adiantum","Pteridaceae","low","Adiantum terminatum"
"speciesLink","HUSC015465","HUSC","15465","Aechmea gracilis","Plantae","Bromeliaceae","Aechmea","2020","07","04","Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR3-B-P6","UNISANTA","PreservedSpecimen","M.P.Sandrini","2020","07",,"-23.791656","-46.118578","437","gracilis","Aquática Consultoria Ambiental","-46.118578","-23.791656","2024-08-28T17:10:47","Lindm.","6",,,,,"Angiosperma",,,,,,,,,,,,,"SPLINK","Bertioga","2020-07-NA",,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","6","2020","Sandrini, M.P.","2020",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Aechmea gracilis","Lindm.","possibly_ok","Bromeliaceae","Aechmea gracilis","Lindm.","species","name accepted","bfo-5814",,,"Aechmea gracilis Lindm.","Aechmea","Bromeliaceae","low","Aechmea gracilis"
"speciesLink","HUSC015448","HUSC","15448","Aechmea nudicaulis","Plantae","Bromeliaceae","Aechmea",,,,"Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1-A","UNISANTA","PreservedSpecimen","M.P.Sandrini",,,,"0","0","437","nudicaulis","Aquática Consultoria Ambiental","-46.138599","-23.854401","2024-08-28T17:10:47","(L.) Griseb.","836",,,,"37616","Angiosperma",,,,,,,,,,,,,"SPLINK","Bertioga",,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","836","n.d.","Sandrini, M.P.","n.d.",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Aechmea nudicaulis","(L.) Griseb.","possibly_ok","Bromeliaceae","Aechmea nudicaulis","(L.) Griseb.","species","name accepted","bfo-5847",,,"Aechmea nudicaulis (L.) Griseb.","Aechmea","Bromeliaceae","low","Aechmea nudicaulis"
"speciesLink","HUSC015613","HUSC","15613","Aechmea organensis","Plantae","Bromeliaceae","Aechmea","2020","07","25","Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR5-C","UNISANTA","PreservedSpecimen","M.P.Sandrini","2020","07",,"-23.791222","-46.097217","437","organensis","Aquática Consultoria Ambiental","-46.097217","-23.791222","2024-08-28T17:10:47","Wawra","823",,,,,"Angiosperma",,,,,,,,,,,,,"SPLINK","Bertioga","2020-07-NA",,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","823","2020","Sandrini, M.P.","2020",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Aechmea organensis","Wawra","possibly_ok","Bromeliaceae","Aechmea organensis","Wawra","species","name accepted","bfo-5848",,,"Aechmea organensis Wawra","Aechmea","Bromeliaceae","low","Aechmea organensis"
"speciesLink","HUSC015009","HUSC","15009","Alchornea triplinervia","Plantae","Euphorbiaceae","Alchornea",,,,"Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau.","UNISANTA","PreservedSpecimen","M.P.Sandrini",,,,"-23.787853","-46.107483","437","triplinervia","Aquática Consultoria Ambiental","-46.107483","-23.787853","2024-08-28T17:10:55","(Spreng.) Müll.Arg.","41",,,,,"Angiosperma",,,,,,,,,,,,,"SPLINK","Bertioga",,,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","41","n.d.","Sandrini, M.P.","n.d.",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Alchornea triplinervia","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Alchornea triplinervia","(Spreng.) Müll.Arg.","species","name accepted","bfo-17458",,,"Alchornea triplinervia (Spreng.) Müll.Arg.","Alchornea","Euphorbiaceae","low","Alchornea triplinervia"
"speciesLink","HUSC015090","HUSC","15090","Allophylus petiolulatus","Plantae","Sapindaceae","Allophylus","2021","04","10","Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR7-A","UNISANTA","PreservedSpecimen","M.P.Sandrini","2021","04",,"-23.795781","-46.095036","437","petiolulatus","Aquática Consultoria Ambiental","-46.095036","-23.795781","2024-08-28T17:11:22","Radlk.","Florística",,,,,"Angiosperma",,,,,,,,,,,,,"SPLINK","Bertioga","2021-04-NA",,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","s.n.","2021","Sandrini, M.P.","2021",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Allophylus petiolulatus","Radlk.","possibly_ok","Sapindaceae","Allophylus petiolulatus","Radlk.","species","name accepted","bfo-20875",,,"Allophylus petiolulatus Radlk.","Allophylus","Sapindaceae","low","Allophylus petiolulatus"
"speciesLink","HUSC015188","HUSC","15188","Alsophila setosa","Plantae","Cyatheaceae","Alsophila","2020","07","24","Brasil","Sao Paulo","Bertioga","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR9-B","UNISANTA","PreservedSpecimen","M.P.Sandrini","2020","07",,"-23.783203","-46.100831","437","setosa","Aquática Consultoria Ambiental","-46.100831","-23.783203","2024-05-28T18:26:42","Kaulf.","960",,,,,"Pteridófita",,,,,,,,,,,,,"SPLINK","Bertioga","2020-07-NA",,,,,,,,,,,,,,,,,,"HUSC",,"Ambiental, A.C.","960","2020","Sandrini, M.P.","2020",,"Ambiental",,"brazil","sao paulo","bertioga","parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Alsophila setosa","Kaulf.","possibly_ok","Cyatheaceae","Alsophila setosa","Kaulf.","species","name accepted","bfo-90858",,,"Alsophila setosa Kaulf.","Alsophila","Cyatheaceae","low","Alsophila setosa"
"speciesLink","HUSC015933","HUSC","15933","Amaioua intermedia","Plantae","Rubiaceae","Amaioua","2023","10","22","Brasil","São Paulo","Bertioga","Trilha Guaratuba no Parque Estadual Restinga de Bertioga","UNISANTA","PreservedSpecimen","P.S.P. Sampaio; T. Malaquias","2024","03",,"-24.257778","-46.556667","437","intermedia","T. Malaquias; E. Malaquias","-46.556667","-24.257778","2025-05-20T14:41:20","Mart. ex Schult. & Schult.f.","9",,,,,"Angiosperma",,,,,,,,,,,,,"SPLINK","Bertioga","2024-03-NA",,,,,,,,,,,,,,,,,,"HUSC",,"Malaquias, T.","9","2023","Sampaio, P.S.P.","2024","Malaquias, E.","Malaquias","Malaquias, T.","brazil","sao paulo","bertioga","trilha guaratuba no parque estadual restinga de bertioga",,"locality","brazil_sao paulo_bertioga","brazil_sao paulo_bertioga",-23.75901349,-46.02990871,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bertioga","Brazil","São Paulo","Bertioga",,"check_local.2municip.","Amaioua intermedia","Mart. ex Schult. & Schult.f.","possibly_ok","Rubiaceae","Amaioua intermedia","Mart. ex Schult. & Schult.f.","species","name accepted","bfo-13830",,,"Amaioua intermedia Mart. ex Schult. & Schult.f.","Amaioua","Rubiaceae","low","Amaioua intermedia"
