"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Solanaceae","Cestrum","bracteatum","Link & Otto","SOLANACEAE Cestrum bracteatum Link & Otto","HSTM00007872","REFLORA",,,"548","Native","Ouro","Parque Natural Municipal Itaim. Ponto 53 da trilha próximo a sede.","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Asteraceae","Clibadium","armanii","(Balb.) Sch.Bip. ex O.E.Schulz","ASTERACEAE Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","UFP099554","SPLINK","UFP","Barretto, E.H.P.","3383","Native","Ouro","Parque natural Municipal Itaim, Trilha PES","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Asteraceae","Mikania","lasiandrae","DC.","ASTERACEAE Mikania lasiandrae DC.","UFP099555","SPLINK","UFP","Barretto, E.H.P.","3184","Native","Ouro","Parque natural Municipal Itaim, Trilha CEA","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Asteraceae","Piptocarpha","reitziana","Cabrera","ASTERACEAE Piptocarpha reitziana Cabrera","HUFABC003222","SPLINK","HUFABC","Barretto, E.H.P.","3405","Native","Ouro","Parque Natural Municipal Itaim, Trilha MAT","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Asteraceae","Symphyopappus","itatiayensis","(Hieron.) R.M.King & H.Rob.","ASTERACEAE Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","UFP099557","SPLINK","UFP","Barretto, E.H.P.","3371","Native","Ouro","Parque natural Municipal Itaim, Trilha OLA","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Rubiaceae","Amaioua","intermedia","Mart. ex Schult. & Schult.f.","RUBIACEAE Amaioua intermedia Mart. ex Schult. & Schult.f.","HUNI00007165","SPLINK","HUNI","Pereira, F.G.","549","Native","Prata","Parque Natural Municipal Itaim, Parelheiros, Zona Sul de São Paulo. Ponto 53 da trilha próxima à futura sede.","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Melastomataceae","Chaetogastra","clinopodifolia","DC.","MELASTOMATACEAE Chaetogastra clinopodifolia DC.","HVC00005126","SPLINK","HVC","Pereira, F.G.","558","Native","Prata","Ponto 4 da trilha próxima à futura sede. Coord. SAD. 69. Parque Natural Municipal Itaim","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Gymnosperms","Cupressaceae","Cupressus","lusitanica","Mill.","CUPRESSACEAE Cupressus lusitanica Mill.","PEL1024683","SPLINK","PEL","Pereira, F.G.","535","Cultivated","Prata","Parque Natural Municipal Itaim. Trilha próxima à sede. Ponto 43","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Myrtaceae","Eugenia","verticillata","(Vell.) Angely","MYRTACEAE Eugenia verticillata (Vell.) Angely","JOI023741","SPLINK","JOI","Honda, S.","1285","Native","Prata","Parque Natural Municipal Itaim","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Myrtaceae","Myrcia","pubipetala","Miq.","MYRTACEAE Myrcia pubipetala Miq.","SORO007646","SPLINK","SORO","Honda, S.","1290","Native","Prata","Parque Natural Municipal Itaim. Trilha do tatu, sede nova. Mata Secundária.","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Lauraceae","Nectandra","oppositifolia","Nees & Mart.","LAURACEAE Nectandra oppositifolia Nees & Mart.","2832","SPLINK","MACK","Pereira, F.G.","536","Native","Prata","Parque Natural Municipal Itaim","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Peraceae","Pera","glabrata","(Schott) Baill.","PERACEAE Pera glabrata (Schott) Baill.","UFG0061643","SPLINK","UFG","Pereira, F.G.","537","Native","Prata","Parque Natural Municipal itaim","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Elaeocarpaceae","Sloanea","hirsuta","(Schott) Planch. ex Benth.","ELAEOCARPACEAE Sloanea hirsuta (Schott) Planch. ex Benth.","JOI023852","SPLINK","JOI","Pereira, F.G.","555","Native","Prata","Parque Natural Municipal Itaim, ponto 2 da trilha próxima á futura sede. Sub-bosque.","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Loranthaceae","Struthanthus","marginatus","(Desr.) G.Don","LORANTHACEAE Struthanthus marginatus (Desr.) G.Don","UFG0062119","SPLINK","UFG","Pereira, F.G.","547","Native","Prata","Parque Natural Municipal itaim","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Melastomataceae","Miconia","valtheri","Naudin","MELASTOMATACEAE Miconia valtheri Naudin","UFG0064222","SPLINK","UFG","Pereira, F.G.","552","Native","Bronze","Parque Natural Municipal itaim","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Lauraceae","Ocotea","dispersa","(Nees & Mart.) Mez","LAURACEAE Ocotea dispersa (Nees & Mart.) Mez","HUFABC002386","SPLINK","HUFABC","Pereira, F.G.","s.n.","Native","Bronze","Parque Natural Municipal Itaim","Não"
"PARQUE NATURAL MUNICIPAL ITAIM","Angiosperms","Myrtaceae","Myrcia","anacardiifolia","Gardner","MYRTACEAE Myrcia anacardiifolia Gardner","264372","GBIF",,,"556","Native","Latão","Parque Natural Municipal Itaim.","Não"
