"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Euphorbiaceae","Acalypha","amblyodonta","(Müll.Arg.) Müll.Arg.","EUPHORBIACEAE Acalypha amblyodonta (Müll.Arg.) Müll.Arg.","SP0293309","SPLINK","SP","Rapini, A.","110","Native","Ouro","Parque Estadual da Serra do Mar, Núcleo Cunha. Trilha do Cravino","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Euphorbiaceae","Acalypha","brasiliensis","Müll.Arg.","EUPHORBIACEAE Acalypha brasiliensis Müll.Arg.","UEC125339","SPLINK","UEC","Baitello, J.B.","629","Native","Ouro","Parque Estadual da Serra do Mar, ao long","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Euphorbiaceae","Acalypha","gracilis","Spreng.","EUPHORBIACEAE Acalypha gracilis Spreng.","SP0515206","SPLINK","SP","Cordeiro, I.","2103","Native","Ouro","Parque Estadual da Serra do Mar, Núcleo Cunha/Indaiá. Estrada para Santa Virgínia","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Asteraceae","Achyrocline","satureioides","(Lam.) DC.","ASTERACEAE Achyrocline satureioides (Lam.) DC.","UEC011496","SPLINK","UEC","Vinha, D.","84","Native","Ouro","Brasil, São Paulo, São Luiz do Paraitinga, reserva. Beira de estrada de terra que liga o município de Catuçaba ao Núcleo Santa Virgínia, Parque Estadual da Serra do Mar, São Luiz do Paraitinga, SP.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Orchidaceae","Acianthera","saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","ORCHIDACEAE Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase","UEC075105","SPLINK","UEC","Nunes, C.E.P.","2013/50","Native","Ouro","Trilha do Ipiranga, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Melastomataceae","Acisanthera","variabilis","(DC.) Triana","MELASTOMATACEAE Acisanthera variabilis (DC.) Triana","314338","SPLINK","SP","Garcia, R.J.F.","1229","Native","Ouro","Parque Estadual da Serra do Mar, Núcleo Curucutu","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Asteraceae","Acmella","ciliata","(Kunth) Cass.","ASTERACEAE Acmella ciliata (Kunth) Cass.","ALCB047138","REFLORA",,,"26","Native","Ouro","Parque Estadual da Serra do mar, núcleo Picinguaba, casa da farinha, trilha rasa.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Asteraceae","Acmella","oleracea","(L.) R.K.Jansen","ASTERACEAE Acmella oleracea (L.) R.K.Jansen","RB00977322",,"RB","Ferreira, P.L.","26","Naturalized","Ouro","Parque Estadual da Serra do Mar; núcleo picinguaba, casa da farinha; trilha rasa.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Poaceae","Acroceras","zizanioides","(Kunth) Dandy","POACEAE Acroceras zizanioides (Kunth) Dandy","SP040120","SPLINK","SP","Shirasuna, R.T.","2740","Native","Ouro","Parque Estadual da Serra do Mar, Núcleo Itutinga-Pilões. Beira do rio Cubatão.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Euphorbiaceae","Actinostemon","concolor","(Spreng.) Müll.Arg.","EUPHORBIACEAE Actinostemon concolor (Spreng.) Müll.Arg.","UEC083521","SPLINK","UEC","Campos, M.C.R.","499","Native","Ouro","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)","Não"
