"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","preparationtype","individualcount","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","recordNumber","occurrenceRemarks","year","month","day","specificepithet","scientificNameAuthorship","minimumelevationinmeters","maximumelevationinmeters","verbatimLatitude","verbatimLongitude","country","dayIdentified","continentocean","phylum","class","order","infraspecificepithet","coordinatePrecision","typeStatus","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"user",,"RB","RB00141159","Aechmea coelestis (K.Koch) É.Morren","Plantae","Bromeliaceae","Aechmea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú.","JBRJ","Preserved Specimen","G. Martinelli & C. M. Vieira",,,,,,"G. Martinelli; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.7666667","-24.6377778",,"15845","Epífita, semi-heliófila, folhas concolores com bainha vinosa; infrut. com escapo vinoso, brácteas escapais caducas paleáceas, brácteas primárias paleáceas; frutos imaturos vermelhos com cálice persistente vermelho","1999","10","6",,"(K.Koch) É.Morren",,,"24º37´76´´","47º45´60´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2002-11-1",,,"BR",,,"1999-10-06",,,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15845","1999","Martinelli, G.","2002","Wanderley, M.G.L.; Barbara, T.; Souza, G.M.; Azoury, R.","Martinelli","Vieira, C.M.","brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:141159",,,,,,,,,,,,,,,,,,,,,,"RB 342271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"coelestis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/59/00141159.jpg","10",,,,,,,,,,,,,,,,,,,,,"2017-10-17 17:44:18+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","check_local.2municip.","Aechmea coelestis","(K.Koch) É.Morren","name_w_authors","Bromeliaceae","Aechmea coelestis","(K.Koch) É.Morren","species","name accepted","bfo-5787",,,"Aechmea coelestis (K.Koch) É.Morren","Aechmea","Bromeliaceae","high","Aechmea coelestis"
"user",,"RB","RB00141167","Aechmea cylindrata Lindm.","Plantae","Bromeliaceae","Aechmea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú.","JBRJ","Preserved Specimen","R.Romanini",,,,,,"G. Martinelli; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.9155556","-24.8263889",,"15853","Epífita, ciófila, folhas na face ventral verde, face dorsal verde com indumento argênteo; bainha castanho-clara; infl. passada de cor castanho","1999","10","6",,"Lindm.",,,"24º37´755´´","47º45´596´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2018-6-7",,,"BR",,,"1999-10-06","Mata Atlântica, planície periodicamente inundada",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15853","1999","Romanini, R.","2018","Wanderley, M.G.L.; Barbara, T.; Souza, G.M.; Azoury, R.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:141167",,,,,,,,,,,,,,,,,,,,,,"RB 342389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cylindrata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/67/00141167.jpg","1050",,,,,,,,,,,,,,,,,,,,,"2018-06-13 10:44:26+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","check_local.2municip.","Aechmea cylindrata","Lindm.","name_w_authors","Bromeliaceae","Aechmea cylindrata","Lindm.","species","name accepted","bfo-5793",,,"Aechmea cylindrata Lindm.","Aechmea","Bromeliaceae","low","Aechmea cylindrata"
"speciesLink","SP050230","SP","351239","Aechmea distichantha","Plantae","Bromeliaceae","Aechmea","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao Rio Pariquera-Açu.","IBt","PreservedSpecimen",,,,,,"1","Martinelli, G; et al.","-47.766556","-24.637639","2021-12-09T11:02:28","15852",,"1999","10","06","distichantha","Lem.","10","50","-24.637639","-47.766556","Brasil",,,,,,,,,,"SPLINK","Pariquera-Açu",,,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15852","1999","s.n.","n.d.",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Aechmea distichantha","Lem.","possibly_ok","Bromeliaceae","Aechmea distichantha","Lem.","species","name accepted","bfo-5799",,,"Aechmea distichantha Lem.","Aechmea","Bromeliaceae","high","Aechmea distichantha"
"speciesLink",,"SP","351702","Aechmea gracilis","Plantae","Bromeliaceae","Aechmea","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao rio Pariquera-Açú.","IBt","PreservedSpecimen","Wanderley, MGL; Martins, SE","2007","10",,,"1","Martinelli, G; Wanderley, MGL; Barbará, T; Sousa, GM; Azoury, R","-47.766556","-24.637639","2021-12-09T11:02:29","15845",,"1999","10","06","gracilis","Lindm.",,,"-24.637639","-47.766556","Brasil",,,,,,,,,,"SPLINK","Pariquera-Açu","2007-10-NA",,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15845","1999","Wanderley, M.G.L.","2007","Wanderley, M.G.L.; Barbara, T.; Sousa, G.M.; Azoury, R.","Martinelli","Martins, S.E.","brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Aechmea gracilis","Lindm.","possibly_ok","Bromeliaceae","Aechmea gracilis","Lindm.","species","name accepted","bfo-5814",,,"Aechmea gracilis Lindm.","Aechmea","Bromeliaceae","high","Aechmea gracilis"
"user",,"RB","RB00141172","Aechmea nudicaulis (L.) Griseb.","Plantae","Bromeliaceae","Aechmea","São Paulo",,"Próximo ao Rio Pariquera-Açú. Parque Estadual Campina do Encantado","JBRJ","Preserved Specimen","G. Martinelli",,,,,,"Martinelli, G.; M. G. L. Wanderley, T. Barbará, G. M.Souza, R. Azoury","-47.7666667","-24.6377778",,"15858","Epífita, ciófila a semi-heliófila; folhas verdes concolores com parte inferior próximo a bainha de cor vinosa; infl. com escapo vermelho, brácteas escapais vermelhos com indumento, raque vermelho; flores com brácteas, sépalas e corola amarela, corola passada nigrescente.","1999","10","6",,"(L.) Griseb.",,,"24º37´76´´","47º45´60´´W","Brasil",,,,,,,,,,,"Pariquera-Açu",,,,"BR",,,"1999-10-06","Planície periodicamente inundada.",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15858","1999","Martinelli, G.","n.d.","G.l.wanderley, T.B.S.A.M.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:141172",,,,,,,,,,,,,,,,,,,,,,"RB 342392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nudicaulis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/72/00141172.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/72/00141172-1.jpg","10","50",,,,,,,,,,,,,,,,,,,,"2017-10-17 17:19:30+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","check_local.2municip.","Aechmea nudicaulis","(L.) Griseb.","name_w_authors","Bromeliaceae","Aechmea nudicaulis","(L.) Griseb.","species","name accepted","bfo-5847",,,"Aechmea nudicaulis (L.) Griseb.","Aechmea","Bromeliaceae","high","Aechmea nudicaulis"
"user",,"RB","RB00141161","Aechmea pectinata Baker","Plantae","Bromeliaceae","Aechmea","São Paulo",,"Próximo ao Rio Pariquera-Açú. Parque Estadual Campina do Encantado","JBRJ","Preserved Specimen","M. G. Wanderley & G. M. Souza",,,,,,"Martinelli, G.; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.7666667","-24.6377778",,"15847","Epífita, ciófila, freqüência média; folhas externas tornando-se róseo-avermelhado; infl. com escapo verde, brácteas escapais verdes com indumento argênteo; flores em botões de cor verde com brácteas verdes.","1999","10","6",,"Baker",,,"24º37´76´´","47º45´60´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","1999-12",,,"BR",,,"1999-10-06","Planície periodicamente inundada.",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15847","1999","Wanderley, M.G.","1999","G.l.wanderley, T.B.S.A.M.","Martinelli","Souza, G.M.","brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:141161",,,,,,,,,,,,,,,,,,,,,,"RB 342388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pectinata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/61/00141161-2.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/61/00141161-1.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/61/00141161.jpg","10",,,,,,,,,,,,,,,,,,,,,"2017-10-13 14:53:19+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","check_local.2municip.","Aechmea pectinata","Baker","name_w_authors","Bromeliaceae","Aechmea pectinata","Baker","species","name accepted","bfo-5853",,,"Aechmea pectinata Baker","Aechmea","Bromeliaceae","low","Aechmea pectinata"
"user",,"RB","RB00515020","Anthurium aff. itanhaense Engl.","Plantae","Araceae","Anthurium","São Paulo",,"Parque Estadual Campina do Encantado.","JBRJ","Preserved Specimen","M. Nadruz",,,,,,"G. Martinelli; M. G. Wanderley; T. Barbará; G. M. Souza; R. Azoury","-47.7663889","-24.6375",,"15860","Terrestre, ciófila; folhas discolores, pecíolo vinoso; inflorescência com pedúnculo vinoso, espata vinosa, espiga vinosa.","1999","10","6",,"Engl.",,,"24º37´75´´","47º45´59´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2011-4-20",,,"BR",,,"1999-10-06","Mata Atlântica de Planície, periodicamente inundada, próximo ao Rio Pariquera-Açú",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15860","1999","Nadruz, M.","2011","Wanderley, M.G.; Barbara, T.; Souza, G.M.; Azoury, R.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:515020",,,,,,,,,,,,,,,,,,,,,,"RB 430387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aff.",,,,,,,,,,,,,,,,,,,,,,,,,,"itanhaense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/51/50/20/00515020.jpg","10","50",,,,,,,,,,,,,,,,,,,,"2017-10-15 15:33:53+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","check_local.2municip.","Anthurium itanhaense","Engl.","affinis|name_w_authors","Araceae","Anthurium itanhaense","Engl.","species","name accepted","bfo-4939",,,"Anthurium itanhaense Engl.","Anthurium","Araceae","high","Anthurium itanhaense"
"speciesLink","HUSC015812","HUSC","15812","Brillantaisia lamium","Plantae","Acanthaceae","Brillantaisia","São Paulo","Pariquera-Açú","Área Industrial, Parque Estadual Campina do Encantado - núcleo Pariquera-Açú, Solo - Gleissolos, Textura - Indiscriminada, Relevo - Plano","UNISANTA","PreservedSpecimen","M.A.M. Galvão; L.F.Vilaça","2024","02",,,"437","L.F. Vilaça","-47.893983","-24.701697","2024-10-30T16:00:59","36","<nO>Arbusto com 1,1 metros de altura, ocupando área de 16 m², com folhas, flores na cor roxa azulada, e frutos capsulares; Floresta Ombrofila Densa</nO>","2024","02","29","lamium","(Nees) Benth.",,,"-24.701697","-47.893983","Brasil",,,"Angiosperma",,,,,,,"SPLINK","Pariquera-Açú","2024-02-NA",,,,,,,,,,,,,,,,,,"HUSC",,"Vilaca, L.F.","36","2024","Galvao, M.A.M.","2024",,"Vilaca","Vilaca, L.F.","brazil","sao paulo","pariquera-acu","parque estadual campina do encantado - nucleo pariquera-acu",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Brillantaisia lamium","(Nees) Benth.","possibly_ok","Acanthaceae","Brillantaisia lamium","(Nees) Benth.","species","name accepted","bfo-605025",,,"Brillantaisia lamium (Nees) Benth.","Brillantaisia","Acanthaceae","low","Brillantaisia lamium"
"user",,"RB","RB00758918","Byrsonima ligustrifolia A.Juss.","Plantae","Malpighiaceae","Byrsonima","São Paulo",,"Parque Estadual da Campina do Encantado. Floresta ombrofila densa. Floresta de Turfeira ( Floresta Paludosa de Restinga).","JBRJ","Preserved Specimen",,,,,,,"M. Sztutman; Walmir",,,,"296","Árvore deitada na diagonal, ca. 10 cm. Frutos avermelhados parcialmente comidos por animais","1999","3","24",,"A.Juss.",,,,,"Brasil",,,,,,,,,,,"Pariquera-Açu",,,,"BR",,,"1999-03-24",,,,,,,"sp.","Physical Object",,,,"RB",,"Sztutman, M.","296","1999","s.n.","n.d.","Walmir","Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual da campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,"ESA",,,,,,"urn:catalog:JBRJ:RB:758918",,,,,,,,,,,,,,,,,,,,,,"RB 567850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ligustrifolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/75/89/18/00758918.jpg",,,,,,,,,,,,,,,,,,,,,,"2014-07-08 00:56:48+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"ibge","check_local.2municip.","Byrsonima ligustrifolia","A.Juss.","name_w_authors","Malpighiaceae","Byrsonima ligustrifolia","A.Juss.","species","name accepted","bfo-8838",,,"Byrsonima ligustrifolia A.Juss.","Byrsonima","Malpighiaceae","unknown","Byrsonima ligustrifolia"
"speciesLink","SP051398","SP","351207","Canistropsis billbergioides","Plantae","Bromeliaceae","Canistropsis","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao Rio Pariquera-Açú.","IBt","PreservedSpecimen","Moreira, BA","2018","08",,,"1","Martinelli, G; et al.","-47.766556","-24.637639","2021-12-09T11:02:35","15850",,"1999","10","06","billbergioides","(Schult. & Schult.f.) Leme","10","50","-24.637639","-47.766556","Brasil","08",,,,,,,,,"SPLINK","Pariquera-Açu","2018-08-08",,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15850","1999","Moreira, B.A.","2018",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Canistropsis billbergioides","(Schult. & Schult.f.) Leme","possibly_ok","Bromeliaceae","Canistropsis billbergioides","(Schult. & Schult.f.) Leme","species","name accepted","bfo-5964",,,"Canistropsis billbergioides (Schult. & Schult.f.) Leme","Canistropsis","Bromeliaceae","high","Canistropsis billbergioides"
